app_id,N/A,customized,dangerous,normal,signature
eu.netinfo.bcb.otp,,1.0,4.0,2.0,
eu.netinfo.cdb.otp,,,1.0,1.0,
eu.netinfo.netteller.cqur.motp,,3.0,1.0,5.0,1.0
eu.sia.siaotp,,,1.0,2.0,
hr.asseco.android.intesa.isbd.alex,,7.0,9.0,8.0,2.0
hr.asseco.android.jimba.otpretailng,,6.0,6.0,6.0,1.0
hr.asseco.android.mtoken.ht.test,1.0,,1.0,1.0,
hr.asseco.android.otp,1.0,6.0,2.0,3.0,
iSec.Authenticator,,2.0,2.0,5.0,
io.faceotp.faceotp,,19.0,4.0,3.0,3.0
it.aruba.pec.mobile.otp,,1.0,2.0,5.0,1.0
it.aruba.pec.mobile.otpfvg,,1.0,2.0,5.0,1.0
it.company.sielte,,4.0,4.0,5.0,
it.netknights.piauthenticator,,2.0,1.0,3.0,1.0
it.previnet.authenticator,,1.0,2.0,3.0,1.0
it.uiv.uivotp,,,,1.0,
jp.co.nttdata.onetimepassworda,,2.0,1.0,7.0,
jp.konami.android.otp_token,,1.0,,1.0,
kr.co.neople.neopleotp,,5.0,2.0,3.0,1.0
kr.kjun.NaverSetup,,,,3.0,
kr.or.kftc.fsc,1.0,3.0,2.0,6.0,2.0
me.jmh.authenticatorpro,,1.0,2.0,7.0,1.0
net.aftnet.OTPManager,,,1.0,,
netinfo.eu.symantec,,3.0,2.0,4.0,1.0
nh.smart.signone,2.0,4.0,5.0,10.0,1.0
no.SpareBank1.MobileOTP,2.0,3.0,1.0,6.0,1.0
no.buypass.mobile.bpcode.bp,,3.0,1.0,7.0,1.0
oracle.idm.mobile.authenticator,,3.0,3.0,5.0,1.0
org.fedorahosted.freeotp,,,2.0,1.0,
org.juanjcsr.newcloudotp,,,3.0,1.0,
org.kamrul.android.myauth,,,2.0,1.0,
org.liberty.android.freeotpplus,,,2.0,3.0,
org.shadowice.flocke.andotp,,,1.0,,
otl.snkl.HDFCSnorkelOTP,,5.0,1.0,6.0,1.0
otl.snkl.SnorkelOTP,,,2.0,1.0,
ro.len.mobile,,,,3.0,
ru.yandex.key,,4.0,2.0,4.0,1.0
sg.worktable.pingoauth,,3.0,2.0,5.0,1.0
sk.otp.viamo,,6.0,6.0,7.0,1.0
tdb.otp,,,,2.0,
teakwang.tsis.motp,1.0,5.0,4.0,7.0,1.0
tm.asmanoky.otp,,3.0,1.0,4.0,1.0
token.security.m2m.com.generateotp,,1.0,2.0,1.0,
two.factor.secure.otp.authentication,,,1.0,3.0,
ua.com.cs.ifobs.mobile.android.otp,,4.0,8.0,5.0,1.0
vietcombank.itcenter.vcbsmartoptv10,,3.0,5.0,5.0,1.0
vn.com.eximbank.softotp,,6.0,2.0,5.0,1.0
vn.com.sacombank.msign,,3.0,2.0,4.0,1.0
vn.funtap.smartotp,,2.0,2.0,5.0,
vn.mk.token.baseotp,,3.0,2.0,6.0,1.0
vn.savis.smartid,,,1.0,2.0,
vn.tpb.token.baseotp,,3.0,2.0,6.0,1.0
vn.unlimit.magicauth,,4.0,4.0,4.0,2.0
wibmo.com.wibmoAuthApp,,4.0,4.0,4.0,1.0
