,file_name,dangerous,normal,signature,signatureOrSystem,unknown
110,cy.com.netinfo.crdbotp,,3.0,1.0,,
111,cy.nbg.nbgcyotp,1.0,6.0,1.0,,1.0
112,de.otp.main,2.0,7.0,,,
113,de.sbeh.rdp_otp,1.0,,,,
114,dev.cat.coffee.authenticator,4.0,5.0,,,
115,eu.netinfo.bcb.otp,4.0,2.0,,,1.0
116,eu.netinfo.cdb.otp,1.0,1.0,,,
117,eu.netinfo.netteller.cqur.motp,,5.0,1.0,,1.0
118,eu.sia.siaotp,1.0,2.0,,,
119,hr.asseco.android.intesa.isbd.alex,9.0,9.0,2.0,,3.0
120,hr.asseco.android.jimba.otpretailng,5.0,7.0,1.0,,3.0
121,hr.asseco.android.mtoken.ht.test,2.0,1.0,,,
122,hr.asseco.android.otp,2.0,3.0,1.0,,3.0
123,iSec.Authenticator,2.0,6.0,,,1.0
124,io.faceotp.faceotp,4.0,3.0,1.0,,17.0
125,it.aruba.pec.mobile.otp,2.0,5.0,,,1.0
126,it.aruba.pec.mobile.otpfvg,2.0,5.0,,,1.0
127,it.company.sielte,4.0,6.0,1.0,,1.0
128,it.netknights.piauthenticator,1.0,3.0,1.0,,
129,it.previnet.authenticator,2.0,3.0,,,1.0
130,it.uiv.uivotp,,1.0,,,
131,jp.co.nttdata.onetimepassworda,1.0,7.0,1.0,,
132,jp.konami.android.otp_token,,1.0,,,1.0
133,kr.co.neople.neopleotp,1.0,3.0,1.0,,1.0
134,kr.kjun.NaverSetup,,3.0,,,
135,kr.or.kftc.fsc,3.0,6.0,1.0,,1.0
136,me.jmh.authenticatorpro,1.0,8.0,,,
137,net.aftnet.OTPManager,1.0,,,,
138,netinfo.eu.symantec,1.0,4.0,1.0,,1.0
139,nh.smart.signone,7.0,11.0,,,2.0
140,no.SpareBank1.MobileOTP,1.0,7.0,1.0,,1.0
141,no.buypass.mobile.bpcode.bp,1.0,7.0,1.0,,1.0
142,oracle.idm.mobile.authenticator,2.0,5.0,1.0,,1.0
143,org.fedorahosted.freeotp,2.0,1.0,,,
144,org.juanjcsr.newcloudotp,3.0,1.0,,,
145,org.kamrul.android.myauth,2.0,1.0,,,
146,org.liberty.android.freeotpplus,2.0,3.0,,,
147,org.shadowice.flocke.andotp,1.0,,,,
148,otl.snkl.HDFCSnorkelOTP,,6.0,1.0,,1.0
149,otl.snkl.SnorkelOTP,2.0,1.0,,,
150,ro.len.mobile,,3.0,,,
151,ru.yandex.key,5.0,4.0,,,
152,sg.worktable.pingoauth,1.0,5.0,1.0,,1.0
153,sk.otp.viamo,6.0,7.0,1.0,,2.0
154,tdb.otp,,2.0,,,
155,teakwang.tsis.motp,4.0,7.0,1.0,,3.0
156,tm.asmanoky.otp,1.0,4.0,1.0,,1.0
157,token.security.m2m.com.generateotp,3.0,1.0,,,
158,two.factor.secure.otp.authentication,1.0,3.0,,,
159,ua.com.cs.ifobs.mobile.android.otp,7.0,5.0,1.0,,1.0
160,vietcombank.itcenter.vcbsmartoptv10,4.0,5.0,1.0,,1.0
161,vn.com.eximbank.softotp,1.0,5.0,1.0,,2.0
162,vn.com.sacombank.msign,1.0,4.0,1.0,,1.0
163,vn.funtap.smartotp,4.0,5.0,,,
164,vn.mk.token.baseotp,1.0,6.0,1.0,,1.0
165,vn.savis.smartid,1.0,2.0,,,
166,vn.tpb.token.baseotp,1.0,6.0,1.0,,1.0
167,vn.unlimit.magicauth,4.0,4.0,1.0,,2.0
168,wibmo.com.wibmoAuthApp,3.0,4.0,1.0,,1.0
