,app_id,netloc
112,com.changingtec.motp.pro,firebaseinstallations.googleapis.com
113,com.pacifico.pacificid,www.bp.fin.ec
114,com.lenovo.otp,otp.lenovo.com
115,jp.konami.android.otp_token,swt-gate.konamionline.com
116,vn.savis.smartid,rosenberg.appmetrica.yandex.net
117,com.azure.authenticator,firebaseinstallations.googleapis.com
118,com.azure.authenticator,app.adjust.com
119,com.azure.authenticator,in.appcenter.ms
120,com.azure.authenticator,mobile.pipe.aria.microsoft.com
121,vietcombank.itcenter.vcbsmartoptv10,accounts.google.com
122,vietcombank.itcenter.vcbsmartoptv10,clientservices.googleapis.com
123,vietcombank.itcenter.vcbsmartoptv10,www.google.com
124,vietcombank.itcenter.vcbsmartoptv10,offlinepages-pa.googleapis.com
125,vietcombank.itcenter.vcbsmartoptv10,smartotp.vietcombank.com.vn
126,vietcombank.itcenter.vcbsmartoptv10,update.googleapis.com
127,vietcombank.itcenter.vcbsmartoptv10,www.vietcombank.com.vn
128,vietcombank.itcenter.vcbsmartoptv10,portal.vietcombank.com.vn
129,vietcombank.itcenter.vcbsmartoptv10,clients4.google.com
130,com.scrignosa,firebaseinstallations.googleapis.com
131,com.scrignosa,userexperience.popso.it
132,com.scrignosa,scrignosa-api.popso.it
133,kr.or.kftc.fsc,ssc.kftc.or.kr
134,kr.or.kftc.fsc,update22.vguard.co.kr:8080
135,com.egypt.ais.aismotp,play.google.com
136,com.authenticator.authservice2,firebase-settings.crashlytics.com
137,com.authenticator.authservice2,firebaseinstallations.googleapis.com
138,com.authenticator.authservice2,www.binaryboot.com
