app_id,type,status,reference,count
club.nagavip.otp,fld,FP,easylist,2
com.dreammirae.otp.android.mirae.multiid.market,fld,FP,easylist,4
vn.com.sacombank.msign,fld,TP,easyprivacy,1
club.nagavip.otp,fld,FP,easyprivacy,1
club.nagavip.otp,fld,TP,easylist,1
club.nagavip.otp,fld,TP,easyprivacy,2
com.dreammirae.anyauth.android,fld,FP,easyprivacy,4
com.dreammirae.anyauth.android,fld,FP,easylist,4
com.aff.otpdirekt,fld,FP,easylist,4
com.changingtec.motp.pro,fld,FP,easyprivacy,2
com.aff.otpdirekt,fld,FP,easyprivacy,3
com.aff.otpdirekt,fld,TP,easylist,3
com.changingtec.motp.pro,fld,FP,easylist,2
com.dreammirae.otp.android.mirae.multiid.market,fld,FP,easyprivacy,4
com.aff.otpdirekt,fld,TP,easyprivacy,4
com.bncr.detectid_otp,fld,FP,easylist,1
vn.funtap.smartotp,fld,FP,easylist,1
vn.funtap.smartotp,fld,FP,easyprivacy,1
com.authenticator.authservice2,fld,FP,easylist,3
com.bankofamerica.authenticator,fld,TP,easyprivacy,1
com.authenticator.authservice2,fld,FP,easyprivacy,3
vn.savis.smartid,fld,TP,easyprivacy,1
com.bankofamerica.authenticator,fld,TP,easylist,1
vn.savis.smartid,fld,FP,easylist,1
com.authy.authy,fld,FP,easylist,3
com.azure.authenticator,fld,TP,easyprivacy,1
com.authy.authy,fld,FP,easyprivacy,3
com.azure.authenticator,fld,TP,easylist,2
com.azure.authenticator,fld,FP,easyprivacy,3
com.bncr.detectid_otp,fld,FP,easyprivacy,1
wibmo.com.wibmoAuthApp,fld,TP,easyprivacy,1
com.azure.authenticator,fld,FP,easylist,2
com.feelanet.artstrongid.sec,fld,FP,easyprivacy,1
br.gov.caixa.codigocaixa,fld,TP,easyprivacy,2
com.dxc.ipwr,fld,FP,easyprivacy,1
com.egypt.ais.aismotp,fld,TP,easyprivacy,1
vn.com.sacombank.msign,fld,FP,easylist,2
br.gov.caixa.codigocaixa,fld,FP,easyprivacy,5
br.gov.caixa.codigocaixa,fld,TP,easylist,2
com.feelanet.artstrongid.sec,fld,FP,easylist,1
br.gov.caixa.codigocaixa,fld,FP,easylist,5
com.dxc.ipwr,fld,FP,easylist,1
vn.com.sacombank.msign,fld,FP,easyprivacy,2
vn.com.sacombank.msign,fld,TP,easylist,1
at.tugraz.iaik.signapp,fld,FP,easyprivacy,1
com.egypt.ais.aismotp,fld,TP,easylist,1
com.trumotp.club,netloc,FP,easylist,2
wibmo.com.wibmoAuthApp,netloc,FP,easylist,1
br.gov.caixa.codigocaixa,netloc,TP,easylist,2
com.trumotp.club,netloc,TP,easylist,1
vn.savis.smartid,netloc,FP,easylist,1
vn.savis.smartid,netloc,FP,easyprivacy,1
jp.konami.android.otp_token,netloc,FP,easyprivacy,1
hr.asseco.android.otp,netloc,FP,easyprivacy,1
com.aff.otpdirekt,netloc,TP,easyprivacy,1
com.trumotp.club,netloc,FP,easyprivacy,3
wibmo.com.wibmoAuthApp,netloc,FP,easyprivacy,1
iSec.Authenticator,netloc,FP,easyprivacy,1
com.authenticator.authservice2,netloc,FP,easylist,3
com.stove.otp.google.android,netloc,FP,easyprivacy,3
it.previnet.authenticator,netloc,FP,easylist,2
com.authy.authy,netloc,FP,easyprivacy,3
com.authy.authy,netloc,FP,easylist,3
com.systemat.SeeZam_OTP,netloc,FP,easylist,2
at.tugraz.iaik.signapp,netloc,FP,easylist,1
iSec.Authenticator,netloc,FP,easylist,1
com.systemat.SeeZam_OTP,netloc,FP,easyprivacy,2
at.tugraz.iaik.signapp,netloc,FP,easyprivacy,1
com.techcombank.stk.corp,netloc,FP,easylist,1
com.techcombank.stk.corp,netloc,FP,easyprivacy,1
netinfo.eu.symantec,netloc,FP,easylist,1
jp.konami.android.otp_token,netloc,FP,easylist,1
com.authenticator.authservice2,netloc,FP,easyprivacy,3
netinfo.eu.symantec,netloc,FP,easyprivacy,1
com.vn.vib.smeotp,netloc,FP,easylist,3
com.aff.otpdirekt,netloc,FP,easylist,7
kr.or.kftc.fsc,netloc,FP,easyprivacy,2
kr.co.neople.neopleotp,netloc,FP,easyprivacy,1
hr.asseco.android.jimba.otpretailng,netloc,FP,easylist,2
eu.netinfo.netteller.cqur.motp,netloc,FP,easyprivacy,1
eu.netinfo.netteller.cqur.motp,netloc,FP,easylist,1
hr.asseco.android.jimba.otpretailng,netloc,FP,easyprivacy,2
kr.co.neople.neopleotp,netloc,FP,easylist,1
br.gov.caixa.codigocaixa,netloc,FP,easyprivacy,9
eu.netinfo.bcb.otp,netloc,FP,easyprivacy,1
eu.netinfo.bcb.otp,netloc,FP,easylist,1
br.gov.caixa.codigocaixa,netloc,FP,easylist,7
club.nagavip.otp,netloc,FP,easylist,2
kr.kjun.NaverSetup,netloc,FP,easyprivacy,1
dev.cat.coffee.authenticator,netloc,TP,easylist,1
dev.cat.coffee.authenticator,netloc,FP,easyprivacy,1
club.nagavip.otp,netloc,FP,easyprivacy,2
hr.asseco.android.mtoken.ht.test,netloc,FP,easylist,1
com.stove.otp.google.android,netloc,FP,easylist,3
com.aff.otpdirekt,netloc,TP,easylist,1
com.aff.otpdirekt,netloc,FP,easyprivacy,7
hr.asseco.android.otp,netloc,FP,easylist,1
com18deglab.cylocklite,netloc,FP,easylist,1
com18deglab.cylocklite,netloc,FP,easyprivacy,2
com18deglab.cylocklite,netloc,TP,easylist,1
com.vn.vib.smeotp,netloc,FP,easyprivacy,3
kr.or.kftc.fsc,netloc,FP,easylist,2
cy.com.netinfo.crdbotp,netloc,FP,easylist,1
cy.com.netinfo.crdbotp,netloc,FP,easyprivacy,1
club.nagavip.otp,netloc,TP,easyprivacy,1
de.otp.main,netloc,FP,easylist,1
de.otp.main,netloc,FP,easyprivacy,1
kr.kjun.NaverSetup,netloc,TP,easylist,1
hr.asseco.android.mtoken.ht.test,netloc,FP,easyprivacy,1
club.nagavip.otp,netloc,TP,easylist,1
vietcombank.itcenter.vcbsmartoptv10,netloc,FP,easyprivacy,9
com.netfiles.netfilesotp,netloc,FP,easylist,1
com.lenovo.otp,netloc,FP,easylist,1
com.lenovo.otp,netloc,FP,easyprivacy,1
vn.com.sacombank.msign,netloc,FP,easylist,2
com.dreammirae.anyauth.android,netloc,FP,easyprivacy,4
com.mdmobiasbancadigipass,netloc,FP,easylist,1
com.mdmobiasbancadigipass,netloc,FP,easyprivacy,2
com.mdmobiasbancadigipass,netloc,TP,easylist,1
ru.yandex.key,netloc,FP,easyprivacy,3
ru.yandex.key,netloc,FP,easylist,3
com.dreammirae.anyauth.android,netloc,FP,easylist,4
com.mds.canarabankapp,netloc,FP,easylist,1
com.mds.canarabankapp,netloc,FP,easyprivacy,1
vn.com.sacombank.msign,netloc,FP,easyprivacy,3
it.previnet.authenticator,netloc,FP,easyprivacy,2
vn.com.sacombank.msign,netloc,TP,easylist,1
nh.smart.signone,netloc,FP,easylist,1
com.netfiles.netfilesotp,netloc,FP,easyprivacy,1
com.dreammirae.otp.android.mirae.multiid.market,netloc,FP,easylist,4
com.dreammirae.otp.android.mirae.multiid.market,netloc,FP,easyprivacy,4
com.kmcert.myotp,netloc,FP,easyprivacy,1
com.kmcert.myotp,netloc,FP,easylist,1
vietcombank.itcenter.vcbsmartoptv10,netloc,FP,easylist,7
com.feelanet.artstrongid.sec,netloc,FP,easylist,1
com.ftsafe.otp.activity,netloc,FP,easylist,1
com.ftsafe.otp.activity,netloc,FP,easyprivacy,1
vietcombank.itcenter.vcbsmartoptv10,netloc,TP,easylist,2
com.egypt.ais.aismotp,netloc,TP,easyprivacy,1
com.egypt.ais.aismotp,netloc,TP,easylist,1
com.gstotpauthenticator,netloc,FP,easylist,3
com.changingtec.motp.pro,netloc,FP,easyprivacy,2
com.gstotpauthenticator,netloc,FP,easyprivacy,4
com.dxc.ipwr,netloc,FP,easyprivacy,1
com.halcom.ng.mobile.puppaltr,netloc,FP,easylist,1
com.halcom.ng.mobile.puppaltr,netloc,FP,easyprivacy,1
com.dxc.ipwr,netloc,FP,easylist,1
com.inwebo.authenticator,netloc,FP,easylist,1
com.inwebo.authenticator,netloc,FP,easyprivacy,1
ua.com.cs.ifobs.mobile.android.otp,netloc,FP,easyprivacy,1
ua.com.cs.ifobs.mobile.android.otp,netloc,FP,easylist,1
com.gstotpauthenticator,netloc,TP,easylist,1
com.changingtec.motp.pro,netloc,FP,easylist,2
nh.smart.signone,netloc,FP,easyprivacy,1
com.nof.makanoh.openkeypos,netloc,TP,easylist,1
com.nof.makanoh.openkeypos,netloc,FP,easyprivacy,1
com.bankofamerica.authenticator,netloc,FP,easylist,1
