app_id,PackageManager.getPackageInfo,RootBeer.isRooted,RootTools,Runtime.exec,SafetyNetApi,sum
com.sophos.sophtoken,1,0,0,0,0,1
com.sitin.sitinotp,1,0,0,0,0,1
com.sgn.sgotp.lotte,1,0,0,0,0,1
com.sgn.sgotp,1,0,0,0,0,1
com.sgn.secureguardotp,1,0,0,0,0,1
com.deepnet.andmob5,1,0,0,0,0,1
com.ncs.secureconnect.otp,1,0,0,0,0,1
at.tugraz.iaik.signapp,1,0,0,0,0,1
com.rcdevs.auth,1,0,0,0,0,1
com.dreammirae.otp.android.mirae,1,0,0,0,0,1
com.dreammirae.otp.android.mirae.multiid.market,1,0,0,0,0,1
com.dxc.ipwr,1,0,0,0,0,1
com.protectimus.android,1,0,0,0,0,1
com.egypt.ais.aismotp,1,0,0,0,0,1
com.portwise.mid.clients.android,1,0,0,0,0,1
com.pentasecurity.isignplus.mobileotp,1,0,0,0,0,1
com.egypt.ais.masriacard.mcmotp,1,0,0,0,0,1
com.eset.esa,1,0,0,0,0,1
com.novoload.otp,1,0,0,0,0,1
com.nof.makanoh.openkeypos,1,0,0,0,0,1
com.feelanet.artstrongid.sec,1,0,0,0,0,1
com.systemat.SeeZam_OTP,1,0,0,0,0,1
com.cbcapp.otp.activity,0,0,0,1,0,1
com18deglab.cylocklite,1,0,0,0,0,1
com.forgerock.authenticator,1,0,0,0,0,1
eu.sia.siaotp,1,0,0,0,0,1
com.mollatech.android.apps.authenticators,1,0,0,0,0,1
eu.netinfo.bcb.otp,1,0,0,0,0,1
dev.cat.coffee.authenticator,1,0,0,0,0,1
de.sbeh.rdp_otp,1,0,0,0,0,1
de.otp.main,1,0,0,0,0,1
com.ideasventure.otptoken,1,0,0,0,0,1
cy.com.netinfo.crdbotp,1,0,0,0,0,1
com.zenithbank.zenithetoken,1,0,0,0,0,1
com.canopus.otpmacgenerator.finductive,1,0,0,0,0,1
com.yubico.yubioath,1,0,0,0,0,1
com.ws.a.otp,1,0,0,0,0,1
com.vtc.main.otpapp,1,0,0,0,0,1
com.mts.opt2,1,0,0,0,0,1
com.vn.vib.smeotp,1,0,0,0,0,1
com.vivokey.vivoauth,1,0,0,0,0,1
com.canopus.otpmacgenerator,1,0,0,0,0,1
com.viafirma.otp,1,0,0,0,0,1
com.u2fa.secur,1,0,0,0,0,1
com.hpe.icewall.smartotp,1,0,0,0,0,1
