app_id,root_detection (5),,root_detection(10),,,
eu.netinfo.bcb.otp,n,,n,,,
com.net2recharge.otp,n,not resp,n,not resp,m,
com.entrust.identityGuard.mobile,n,not resp,n,not resp,m,
com.stove.otp.google.android,n,,n,,,
com.FAISATOKEN,n,,n,,,
com.sophos.sophtoken,y,n,n,TOTP/HOTP,m,
com.BANKABC,y,,y,capture using other phone,,
com.pozitron.qib,n,,n,,,
com18deglab.cylocklite,n,,n,,,
com.mdmobiasbancadigipass,n,,n,,,
com.vpbank.vpbanksmartotp,n,,n,,,
com.changingtec.motp.pro,y,,y,to fast,not capture,m
com.aircuve.motpkey_miraeasset,n,,n,,,
com.pacifico.pacificid,n,,n,,,
com.andxor.mobile.jsotp.piteco,n,,n,,,
net.marinits.android.droidotp,n,n,n,,,
vn.com.eximbank.softotp,y,n,n,char,capture something,translate
com.lenovo.otp,n,,n,,,
com.aircuve.airotp,y,su,y,su check,,
com.kienlongbank.etoken,n,,n,,,
hr.asseco.android.intesa.isbd.alex,n,c,n,,,
com.ezmcom.cimb.softtoken.ezidv4,n,n,n,,,
it.netknights.piauthenticator,n,,n,,,
jp.konami.android.otp_token,n,,n,,,
com.cibcorptoken,y,,y,capture using other phone,,
com.securekiotp,n,not resp,n,,,
com.viafirma.otp,n,l,n,install other app,,
vn.savis.smartid,n,,n,,,
net.aftnet.OTPManager,n,n,n,,,
com.ocb.iotp,n,,n,,,
com.azure.authenticator,n,,n,,,
two.factor.secure.otp.authentication,n,not resp,n,,,
vietcombank.itcenter.vcbsmartoptv10,n,,n,,,
jp.co.nttdata.onetimepassworda,n,,n,,,
com.hpe.icewall.smartotp,n,,n,,,
com.scrignosa,n,,n,,,
com.canopus.otpmacgenerator.finductive,n,,n,,,
vn.mk.token.baseotp,n,,n,,,
br.com.voegol.tokenagenciasgol,n,,n,,,
com.qrail.token,n,not resp,n,,,
com.ideasventure.otptoken,n,,n,,,
com.sbi.SBIFreedomPlus,y,,y,,,
kr.or.kftc.fsc,n,,n,,,
com.egypt.ais.aismotp,n,,n,,,
org.arcon.pam.otp,n,,n,,,
com.lpb.softotp,n,not resp,n,,,
com.atsolution.android.bcotp,n,c,n,,,
com.authenticator.authservice2,n,,n,,,
cy.nbg.nbgcyotp,y,,y,,,
,,,,,,
,,,,Su = 4,,
,,,,can go = 2,,
,,,,install other app = 3,,
